Set,CardId,Name,Rarity,Type,Tag,Verse,Value,AbilityText,VerseText,AbilityType
Bas,046,John the Baptist,Uncommon,Faithful,,Matthew 3:1-2,12,,In those days John the Baptist came~ preaching in the wilderness of Judea and saying~ “Repent~ for the kingdom of heaven is near.”,
Bas,047,Caleb,Common,Faithful,,"Numbers 13:3, 6",4,,Moses sent them from the wilderness of Paran according to the commandment of Yahweh. All of them were men who were heads of the children of Israel….Of the tribe of Judah~ Caleb the son of Jephunneh.,
Bas,048,Jehosheba,Uncommon,Faithful,,2 Kings 11:2,10,,But Jehoshebaa daughter of King Joram~ the sister of Ahaziah~ took Joash son of Ahaziah and stole him away from among the sons of the king who were being murdered. She put him and his nurse in a bedroom to hide him from Athaliah~ and he was not killed.,
Bas,049,Eutychus,Common,Faithful,,Acts 20:9,4,,And a certain young man named Eutychus~ seated in the window~ was sinking into a deep sleep as Paul talked on and on. When he was sound asleep~ he fell from the third story and was picked up dead.,
Bas,050,Ruth,Uncommon,Faithful,,Ruth 1:16-17,7,2 Dove if Naomi is in play,Ruth said~ “Don’t urge me to leave you~ and to return from following you~ for where you go~ I will go; and where you stay~ I will stay. Your people will be my people~ and your God my God. Where you die~ I will die~ and there I will be buried. May Yahweh do so to me~ and more also~ if anything but death parts you and me.”,
Bas,051,Naaman,Common,Neutral,,2 Kings 5:14,0,Play this card on any location to prevent Faithless from placing there~ If a Trap card is revealed in that location~ remove Naaman from play,So Naaman went down and dipped himself in the Jordan seven times~ according to the word of the man of God~ and his flesh was restored and became like that of a little child~ and he was clean.,
Bas,052,Joseph of Arimathea,Common,Neutral,,Mark 15:42-43,0,Play this card on any location to prevent Faithless from placing there. If a Trap card is revealed in that location~ remove Joseph of Arimathea from play,Now it was already evening. Since it was Preparation Day (that is~ the day before the Sabbath)~ Joseph of Arimathea~ a prominent Council member who himself was waiting for the kingdom of God~ boldly went to Pilate to ask for the body of Jesus.,
Bas,053,Angel of the Lord,Common,Neutral,,1 Chronicles 21:15,0,Instant: You may discard Angel of the Lord to prevent an additional Location from being placed on the timeline.,Then God sent an angel to destroy Jerusalem~ but as the angel was doing so~ the LORD saw it and relented from the calamity~ and He said to the angel who was destroying the people~ “Enough! Withdraw your hand now!” At that time the angel of the LORD was standing by the threshing floor of Ornan the Jebusite.,
Bas,054,Angel of the Lord,Common,Neutral,,Judges 6:11,0,Play this card on any location to prevent Faithless from placing there. If a Trap card is revealed in that location~ remove Angel of the Lord from play,Then the angel of the LORD came and sat down under the oak in Ophrah that belonged to Joash the Abiezerite~ where his son Gideon was threshing wheat in a winepress to hide it from the Midianites.,
Bas,055,Gamaliel,Uncommon,Neutral,,Acts 5:33-35,0,Play this card on any location to prevent Faithless from placing there. If a Trap card is revealed in that location~ remove Gamaliel from play,"When the Council members heard this~ they were enraged~ and they resolved to put the apostles to death. But a Pharisee named Gamaliel~ a teacher of the law who was honored by all the people~ stood up in the Sanhedrin and ordered that the men be put outside for a short time. “Men of Israel,” he said~ “consider carefully what you are about to do to these men.”",
Bas,056,Uriah the Hittite,Uncommon,Neutral,,2 Samuel 11:11,0,Play this card on any location to prevent Faithless from placing there. If a Trap card is revealed in that location~ remove Uriah the Hittite from play,Uriah said to David~ “The ark~ Israel~ and Judah~ are staying in tents; and my lord Joab and the servants of my lord~ are encamped in the open field. Shall I then go into my house to eat and to drink and to lie with my wife? As you live~ and as your soul lives~ I will not do this thing!”,
Bas,057,Queen of Sheba,Rare,Neutral,,1 Kings 10:1-2,0,Play this card on any location to prevent Faithless from placing there. If a Trap card is revealed in that location~ remove Queen of Sheba from play,Now when the queen of Sheba heard about the fame of Solomon concerning the name of the LORD~ she came to test him with difficult questions. She arrived in Jerusalem with a very large caravan—with camels bearing spices~ gold in great abundance~ and precious stones. So she came to Solomon and spoke to him all that was on her mind.,
Bas,058,Naboth,Common,Neutral,,1 Kings 21:1,0,Play this card on any location to prevent Faithless from placing there. If a Trap card is revealed in that location~ remove Naboth from play,Some time later~ Naboth the Jezreelite happened to own a vineyard in Jezreel next to the palace of Ahab king of Samaria.,
Bas,059,Pharaoh’s Daughter,Rare,Neutral,,Exodus 2:5-6,0,Play this card on any location to prevent Faithless from placing there. If a Trap card is revealed in that location~ remove Pharaoh’s Daughter from play,Soon the daughter of Pharaoh went down to bathe in the Nile~ and her attendants were walking along the riverbank. And when she saw the basket among the reeds~ she sent her maidservant to retrieve it. When she opened it~ she saw the child~ and behold~ the little boy was crying. So she had compassion on him and said~ “This is one of the Hebrew children.”,
Bas,060,Nicodemus,Common,Neutral,,John 3:1-2,0,Play this card on any location to prevent Faithless from placing there~ If a Trap card is revealed in that location~ remove Nicodemus from play,“Now there was a man of the Pharisees named Nicodemus~ a leader of the Jews~ He came to Jesus at night and said~ “Rabbi~ we know that You are a teacher who has come from God~ For no one could perform the signs You are doing if God were not with him.””,
Bas,061,Medium at Endor,Uncommon,Fallen,,1 Samuel 28:7,9,2 SnakeIcon if Saul is in play,“Then Saul said to his servants~ “Find me a woman who is a medium~ so I can go and consult her.” “There is a medium at Endor” his servants replied.”,
Bas,062,Haman,Uncommon,Fallen,,Esther 3:5-6,8,-2 SnakeIcon if Esther is in play,“When Haman saw that Mordecai would not bow down or pay him homage~ he was filled with rage. And when he learned the identity of Mordecai’s people~ he scorned the notion of laying hands on Mordecai alone. Instead~ he sought to destroy all of Mordecai’s people~ the Jews~ throughout the kingdom of Xerxes.”,
Bas,063,Pharaoh Neco,Uncommon,Fallen,,2 Kings 23:29,5,Bonus: When Pharaoh Neco is revealed~ the last discarded Faithless is placed on this location~ If no Faithless have been discarded~ draw another location,“At the end of Josiah’s reign~ Pharaoh Neco king of Egypt marched up to help the king of Assyria at the Euphrates River. King Josiah went out to confront him~ but Neco faced him and killed him at Megiddo.”,
Bas,064,Pharaoh,Common,Fallen,,Exodus 1:8,8,,“Then a new king~ who did not know Joseph~ came to power in Egypt.”,
Bas,065,The Serpent,Common,Fallen,,Genesis 3:1,4,2 SnakeIcon if the Garden of Eden is active,“Now the serpent was more subtle than any animal of the field which Yahweh God had made~ He said to the woman~ “Has God really said~ ‘You shall not eat of any tree of the garden’?””,
Bas,066,The Serpent,Common,Fallen,,Genesis 3:4-5,8,Bonus: When The Serpent enters play~ remove any Support cards from current and adjacent locations,"““‘You will not surely die,’ the serpent told her.~ “For God knows that in the day you eat of it~ your eyes will be opened and you will be like God~ knowing good and evil.””",
Bas,067,Ahab,Uncommon,Fallen,,1 Kings 16:29-30,10,,“In the thirty-eighth year of Asa’s reign over Judah~ Ahab son of Omri became king of Israel~ and he reigned in Samaria twenty-two years. However~ Ahab son of Omri did evil in the sight of the LORD~ more than all who were before him.”,
Bas,068,Jezebel,Rare,Fallen,,1 Kings 16:31,13,2 SnakeIcon if Elijah is in play,“And as if it were not enough for him to walk in the sins of Jeroboam son of Nebat~ he even married Jezebel the daughter of Ethbaal king of the Sidonians~ and he then proceeded to serve and worship Baal.”,
Bas,069,Absalom,Common,Fallen,,2 Samuel 15:12,5,2 SnakeIcon if David is in play,“While Absalom was offering the sacrifices~ he sent for Ahithophel the Gilonite~ David’s counselor~ to come from his hometown of Giloh. So the conspiracy gained strength~ and Absalom’s following kept increasing.”,
Bas,070,Giant of Egypt,Common,Fallen,,1 Chronicles 11:23,3,2 SnakeIcon if Egypt is active,“He also killed an Egyptian~ a huge man five cubits tall. Although the Egyptian had a spear like a weaver’s beam in his hand~ Benaiah went against him with a club~ snatched the spear from his hand~ and killed the Egyptian with his own spear.”,
Bas,071,Pharisee,Common,Fallen,,Mark 3:6,5,,“At this~ the Pharisees went out and began plotting with the Herodians how they might kill Jesus.”,
Bas,072,Korah,Rare,Fallen,,Numbers 16:31-33,7,,“As soon as Moses had finished saying all this~ the ground beneath them split open~ and the earth opened its mouth and swallowed them and their households—all Korah’s men and all their possessions. They went down alive into Sheol with all they owned. The earth closed over them~ and they vanished from the assembly.”,
Bas,073,Philistine Warrior,Common,Fallen,,Judges 10:6-7,2,,“And again the Israelites did evil in the sight of the LORD~ They served the Baals~ the Ashtoreths~ the gods of Aram~ Sidon~ and Moab~ and the gods of the Ammonites and Philistines. Thus they forsook the LORD and did not serve Him. So the anger of the LORD burned against Israel~ and He sold them into the hands of the Philistines and Ammonites.”,
Bas,074,Moabite,Common,Fallen,,2 Kings 3:21,4,,“Now when all the Moabites heard that the kings had come up to fight against them~ they gathered themselves together~ all who were able to put on armor~ young and old~ and stood on the border.”,
Bas,075,Goliath,Uncommon,Fallen,,1 Samuel 17:4,10,1 SnakeIcon if Gath is active,“A champion out of the camp of the Philistines named Goliath of Gath~ whose height was six cubits and a span went out.”,
Bas,076,Gehazi,Common,Fallen,,2 Kings 5:20,3,,“Gehazi~ the servant of Elisha the man of God~ said~ “Look~ my master has spared this Aramean~ Naaman~ while not accepting what he brought. As surely as the LORD lives~ I will run after him and get something from him.””,
Bas,077,Nephilim,Common,Fallen,,Genesis 6:4,7,Bonus (Fear): As long as Nephilim is in play~ an additional Faith token must be spent to pay any Faith token cost on the Faith timeline.,“The Nephilim were on the earth in those days—and afterward as well—when the sons of God had relations with the daughters of men. And they bore them children who became the mighty men of old~ men of renown.”,
Bas,078,Cain,Uncommon,Fallen,,Genesis 4:8,11,2 SnakeIcon if Abel is in play,“Then Cain said to his brother Abel~ “Let us go out to the field.” And while they were in the field~ Cain rose up against his brother Abel and killed him.”,
Bas,079,Zeba,Common,Fallen,,Judges 8:21,5,,“Then Zebah and Zalmunna said~ “Get up and kill us yourself~ for as the man is~ so is his strength.” So Gideon got up and killed Zebah and Zalmunna~ and he took the crescent ornaments from the necks of their camels.”,
Bas,080,Zalmunna,Common,Fallen,,Judges 8:11-12,3,,“And Gideon went up by way of the caravan route east of Nobah and Jogbehah~ and he attacked their army~ taking them by surprise. When Zebah and Zalmunna fled~ Gideon pursued and captured these two kings of Midian~ routing their entire army.”,
Bas,081,Micah,Common,Fallen,,Judges 17:5-6,3,,“Now this man Micah had a shrine~ and he made an ephod and some household idols~ and ordained one of his sons as his priest. In those days there was no king in Israel; everyone did what was right in his own eyes.”,
Bas,082,Potiphar’s Wife,Common,Fallen,,Genesis 39:6b-7,6,2 SnakeIcon if Joseph is in play,“Now Joseph was well-built and handsome~ and after some time his master’s wife cast her eyes upon Joseph and said~ “Sleep with me.””,
Bas,083,Midianite Trader,Common,Fallen,,Genesis 37:28,2,,“So when the Midianite traders passed by~ his brothers pulled Joseph out of the pit and sold him for twenty shekels of silver to the Ishmaelites~ who took him to Egypt.”,
Bas,084,Saul,Uncommon,Fallen,,1 Chronicles 10:13-14,9,,“So Saul died for his unfaithfulness to the LORD~ because he did not keep the word of the LORD and even consulted a medium for guidance~ and he failed to inquire of the LORD. So the LORD put him to death and turned the kingdom over to David son of Jesse.”,
Bas,085,Nadab and Abihu,Common,Fallen,,Numbers 3:4,5,,“Nadab and Abihu~ however~ died in the presence of the LORD when they offered unauthorized fire before the LORD in the Wilderness of Sinai. And since they had no sons~ only Eleazar and Ithamar served as priests during the lifetime of their father Aaron.”,
Bas,086,Balaam,Uncommon,Fallen,,Numbers 22:7,6,,“The elders of Moab and Midian departed with the fees for divination in hand. They came to Balaam and relayed to him the words of Balak.”,
Bas,087,Magician of Egypt,Common,Fallen,,Exodus 7:11,6,2 SnakeIcon if Egypt is active,“But Pharaoh called the wise men and sorcerers and magicians of Egypt~ and they also did the same things by their magic arts.”,
Bas,088,Magician of Egypt,Rare,Fallen,,Exodus 7:22,0,When this card is revealed in a location~ it gains the SnakeIcon equal to that location.,“The magicians of Egypt did the same thing with their enchantments. So Pharaoh’s heart was hardened~ and he didn’t listen to them~ as Yahweh had spoken.”,
Bas,089,Herodias’ Daughter,Uncommon,Fallen,,Mark 6:24-25,5,1 SnakeIcon if Herod Antipas is in play,“Then she went out and asked her mother~ “What should I request?” And her mother answered~ “The head of John the Baptist.” At once the girl hurried back to the king with her request: “I want you to give me the head of John the Baptist on a platter immediately.””,
Bas,090,Herod Antipas,Rare,Fallen,,Matthew 14:9-11,9,3 SnakeIcon if Sea of Galilee is active,"“The king was grieved, but for the sake of his oaths and of those who sat at the table with him, he commanded it to be given, and he sent and beheaded John in the prison. His head was brought on a platter and given to the young lady; and she brought it to her mother.”",
Bas,091,Judas Iscariot,Uncommon,Fallen,,Mark 14:10-11,6,,"“Then Judas Iscariot, one of the Twelve, went to the chief priests to betray Jesus to them. They were delighted to hear this, and they promised to give him money. So Judas began to look for an opportunity to betray Jesus.”",
Bas,092,Pontius Pilate,Common,Fallen,,Mark 15:14-15,6,,"“Now when morning had come, all the chief priests and the elders of the people took counsel against Jesus to put him to death. They bound him, led him away, and delivered him up to Pontius Pilate, the governor.”",
Bas,093,Balak,Rare,Fallen,,Joshua 24:9-10,9,x2 SnakeIcon if Balaam is in play,"“Then Balak son of Zippor, the king of Moab, set out to fight against Israel. He sent for Balaam son of Beor to curse you, but I would not listen to Balaam. So he blessed you again and again, and I delivered you from his hand.”",
Bas,094,Nebuchadnezzar,Rare,Fallen,,Daniel 4:33,10,,"“At that moment the sentence against Nebuchadnezzar was fulfilled. He was driven away from mankind. He ate grass like an ox, and his body was drenched with the dew of heaven, until his hair grew like the feathers of an eagle and his nails like the claws of a bird.”",
Bas,095,King Ahasuerus,Uncommon,Fallen,,Esther 1:1-3a,12,–2 SnakeIcon if Esther is in play,"“This is what happened in the days of Xerxes, who reigned over 127 provinces from India to Cush. In those days King Xerxes sat on his royal throne in the citadel of Susa. In the third year of his reign, Xerxes held a feast for all his officials and servants.”",
Bas,096,Og King of Bashan,Rare,Fallen,,Deuteronomy 3:11,10,,"“(For only Og king of Bashan had remained of the remnant of the Rephaim. His bed of iron, nine cubits long and four cubits wide, is still in Rabbah of the Ammonites.)”",
Bas,097,Athaliah,Uncommon,Fallen,,2 Kings 11:1,8,"Bonus: Upon reveal, any active Faithful card with a faith amount less than 8 is discarded.","“When Athaliah the mother of Ahaziah saw that her son was dead, she proceeded to annihilate all the royal heirs.”",
Bas,098,King Achish,Rare,Fallen,,1 Samuel 21:12,9,2 SnakeIcon if Gath is active,“Now David took these words to heart and was very much afraid of Achish the king of Gath.”,
Bas,099,Eglon,Common,Fallen,,"Numbers 3:12, 17",5,,"“The children of Israel again did that which was evil in Yahweh’s sight, and Yahweh strengthened Eglon the king of Moab against Israel, because they had done that which was evil in Yahweh’s sight…. The children of Israel again did that which was evil in Yahweh’s sight, and Yahweh strengthened Eglon the king of Moab against Israel, because they had done that which was evil in Yahweh’s sight.”",
Bas,100,Elymas the Sorceror,Rare,Fallen,,Acts 13:8,10,"Bonus: When Elymas the Sorceror is revealed, the last discarded Faithless is placed on this location. If no Faithless have been discarded, draw another location.","“But Elymas the sorcerer (for so is his name by interpretation) withstood them, seeking to turn the proconsul away from the faith.”",
Bas,101,Two She-Bears,Uncommon,Event,,2 Kings 2:23-24,10,,"“From there, Elisha went up to Bethel, and as he was walking up the road, a group of boys came out of the city and jeered at him, chanting, “Go up, you baldhead! Go up, you baldhead!” Then he turned around, looked at them, and called down a curse on them in the name of the LORD. Suddenly two female bears came out of the woods and mauled forty-two of the boys.”",Cost
Bas,102,The Exodus,Common,Event,,Exodus 12:31-32,7,,"“Then Pharaoh summoned Moses and Aaron by night and said, “Get up, leave my people, both you and the Israelites! Go, worship the LORD as you have requested. Take your flocks and herds as well, just as you have said, and depart! And bless me also.””",Cost
Bas,103,The Flood,Common,Event,,Genesis 7:11-12,,Draw an additional location card and add it to the faith timeline.,"“In the six hundredth year of Noah’s life, on the seventeenth day of the second month, all the fountains of the great deep burst forth, and the floodgates of the heavens were opened. And the rain fell upon the earth for forty days and forty nights.”",Draw Location
Bas,104,The Fall,Uncommon,Event,,Genesis 3:12-13,13,,"“And the man answered, “The woman whom You gave me, she gave me fruit from the tree, and I ate it.” Then the LORD God said to the woman, “What is this you have done?” “The serpent deceived me,” she replied, “and I ate.””",Cost
Bas,105,David’s Census,Uncommon,Event,,1 Chronicles 21:1-2,8,,"“Then Satan rose up against Israel and incited David to take a census of Israel. So David said to Joab and the commanders of the troops, “Go and count the Israelites from Beersheba to Dan and bring me a report, so that I may know their number.””",Cost
Bas,106,Prophet’s Rebuke,Rare,Event,,2 Samuel 12:9,6,,"“Why then have you despised the command of the LORD by doing evil in His sight? You put Uriah the Hittite to the sword and took his wife as your own, for you have slain him with the sword of the Ammonites.”",Cost
Bas,107,Rejoice in the Lord,Common,Event,,Joel 2:23,,You may use this card to refresh the faith pool (DoveIcon) to match the amount of one of your Faithful in play.,"“Be glad, O children of Zion, and rejoice in the LORD your God, for He has given you the autumn rains for your vindication. He sends you showers, both autumn and spring rains, as before.”",Refresh
Bas,108,Plague on Livestock,Common,Event,,Exodus 9:6-7,2,,"“And the next day the LORD did just that. All the livestock of the Egyptians died, but not one animal belonging to the Israelites died. Pharaoh sent officials and found that none of the livestock of the Israelites had died. But Pharaoh’s heart was hardened, and he would not let the people go.”",Cost
Bas,109,Wild Lion,Rare,Event,,2 Samuel 23:20b,15,,“He also went down and killed a lion in the middle of a pit in a time of snow.”,Cost
Bas,110,Ben-hadad’s Siege,Common,Event,,2 Kings 6:24,7,,"“Some time later, Ben-hadad king of Aram assembled his entire army and marched up to besiege Samaria.”",Cost
Bas,111,Sinful Desperation,Uncommon,Event,,2 Kings 6:28-29,,Draw an additional location card and add it to the faith timeline.,"“Then the king asked her, ‘What is the matter?’ And she answered, ‘This woman said to me, “Give up your son, that we may eat him, and tomorrow we will eat my son.” So we boiled my son and ate him, and the next day I said to her, “Give up your son, that we may eat him.” But she had hidden her son.’”",Draw Location
Bas,112,Risen!,Rare,Event,,Mark 16:6-7,,You may use this card to refresh the faith pool (DoveIcon) to match the amount of one of your Faithful in play.,"“But he said to them, “Do not be alarmed. You are looking for Jesus the Nazarene, who was crucified. He has risen! He is not here! See the place where they put Him. But go, tell His disciples and Peter, ‘He is going ahead of you into Galilee. There you will see Him, just as He told you.’””",Refresh
Bas,113,A Huge Fish,Uncommon,Event,,Jonah 1:17,,Draw an additional location card and add it to the faith timeline.,"“Now the LORD had appointed a great fish to swallow Jonah, and Jonah spent three days and three nights in the belly of the fish.”",Draw Location
